cid,name,wl,mas_tgt,skl_tgt,value,cost_mr,cost_skl
0,前回WL,True,5,2,35.25,0,0
1,ブル限,False,5,4,17.5,0,0
2,フェス限,False,5,4,17.5,0,0
3,VD,False,5,4,17.5,0,0
4,正月,False,5,2,15.25,0,0
5,イフ,False,5,3,16.0,4000,3000
6,フロプラ,False,5,3,16.0,4000,3000
7,はぐ,False,5,1,15.0,6000,0
8,キラー,False,5,2,15.25,6000,0
9,筋肉,False,5,2,15.25,0,0
10,ノヴァ,False,5,4,17.5,0,9000
11,ドアノブ,False,5,3,16.0,10000,0
12,ドッジ,False,5,2,15.25,0,0
13,1-C,False,4,2,14.75,8000,1000
14,もも鍵,False,5,1,15.0,0,0
16,バディファニ,False,5,3,16.0,10000,0
17,アイドロ,False,5,3,16.0,10000,0
19,ペンギン,False,5,1,15.0,10000,0
22,BD2年目,False,5,4,14.0,0,4500
24,BD4年目,False,5,4,14.0,0,3000
